Region_Code,Region,Living_Expenditure_Yen,Housing_Expenditure_Yen,Education_Expenditure_Yen
0,All Japan,"297,139","17,785","12,586"
1000,Hokkaido,"288,574","22,131","10,413"
2000,Aomori,"258,784","12,583","10,504"
3000,Iwate,"298,031","20,098","10,436"
4000,Miyagi,"305,091","27,830","11,740"
5000,Akita,"291,494","17,046","10,211"
6000,Yamagata,"327,062","21,475","15,724"
7000,Fukushima,"320,093","22,747","11,036"
8000,Ibaraki,"333,191","17,044","12,366"
9000,Tochigi,"304,717","17,563","9,913"
10000,Gumma,"276,671","14,996","8,262"
11000,Saitama,"348,743","21,632","26,682"
12000,Chiba,"321,384","12,054","19,285"
13000,Tokyo,"326,281","24,121","20,439"
14000,Kanagawa,"323,047","19,885","18,569"
15000,Niigata,"296,612","17,219","11,116"
16000,Toyama,"349,830","12,789","12,622"
17000,Ishikawa,"337,607","14,161","8,737"
18000,Fukui,"311,369","16,500","7,057"
19000,Yamanashi,"287,742","16,967","13,414"
20000,Nagano,"305,538","18,500","14,187"
21000,Gifu,"291,177","10,294","15,049"
22000,Shizuoka,"295,044","23,138","11,156"
23000,Aichi,"296,585","24,104","12,968"
24000,Mie,"322,487","16,007","9,006"
25000,Shiga,"303,880","12,350","19,631"
26000,Kyoto,"287,824","21,359","11,687"
27000,Osaka,"280,799","25,121","13,209"
28000,Hyogo,"254,486","9,073","10,108"
29000,Nara,"338,351","17,902","13,907"
30000,Wakayama,"233,764","12,301","8,746"
31000,Tottori,"277,537","20,104","8,633"
32000,Shimane,"306,500","19,650","12,597"
33000,Okayama,"304,700","19,061","8,172"
34000,Hiroshima,"328,907","19,150","14,627"
35000,Yamaguchi,"319,664","26,212","10,660"
36000,Tokushima,"294,693","19,085","10,285"
37000,Kagawa,"341,999","13,505","14,652"
38000,Ehime,"288,643","23,223","11,500"
39000,Kochi,"284,019","20,450","14,107"
40000,Fukuoka,"307,732","20,874","12,936"
41000,Saga,"312,642","18,699","14,109"
42000,Nagasaki,"273,797","24,438","12,105"
43000,Kumamoto,"272,887","15,557","11,833"
44000,Oita,"306,592","16,616","11,476"
45000,Miyazaki,"266,577","21,774","10,269"
46000,Kagoshima,"295,524","23,057","12,134"
47000,Okinawa,"216,863","21,039","9,730"
